64	130.932
128	130.995
64	133.213
128	134.188
64	133.156
128	134.048
64	133.112
128	134.233
64	133.112
128	133.730
64	133.459
128	133.641
64	133.156
128	134.277
64	133.257
128	134.233
64	132.752
128	133.686
4096	131.417
8192	132.351
16384	130.830
64	133.257
128	134.277
4096	132.917
8192	134.361
16384	132.081
64	133.112
128	133.641
4096	131.691
8192	134.361
16384	133.659
64	132.752
128	134.004
4096	133.237
8192	132.477
16384	133.235
64	132.954
128	133.864
4096	135.233
8192	131.430
16384	131.328
64	133.358
128	134.048
4096	133.761
8192	135.147
16384	132.066
64	132.809
128	134.004
4096	134.411
8192	134.101
16384	131.416
64	133.516
128	134.188
4096	131.769
8192	131.722
16384	133.069
64	133.169
128	134.048
4096	132.917
8192	131.306
16384	132.963
64	133.055
128	133.775
4096	132.718
8192	134.709
16384	133.538
64	133.112
128	133.915
4096	133.077
8192	130.851
16384	133.310
64	133.112
128	134.048
4096	133.117
8192	131.847
16384	131.725
16	129.810	126.831
32	132.043	128.922
64	133.156	130.527
128	134.048	131.586
256	134.179	132.848
512	133.057	130.307
1024	134.390	129.945
2048	134.544	127.383
16	126.967	126.504	125.987	125.960	130.123	127.008	129.606
32	128.783	128.887	128.194	128.194	131.488	128.748	131.696
64	130.629	130.629	129.776	129.069	132.954	130.730	133.055
128	131.684	131.586	130.175	130.679	133.095	131.772	133.590
256	132.539	132.583	120.258	119.205	133.714	132.848	132.671
512	130.220	130.394	118.463	118.073	132.970	130.004	133.320
1024	129.514	129.901	115.270	115.684	134.567	129.001	133.427
2048	121.866	127.656	117.574	115.781	132.912	121.292	134.154
