4	1918.269	2135.417	2906.862	2793.387	2782.443	1988.193	2774.449
8	2053.833	2409.614	3653.278	3431.641	3405.490	2040.017	3417.618
16	2223.430	2557.583	4218.761	3937.768	3930.925	2216.233	3938.421
32	2107.064	2704.931	4466.077	4259.829	4273.319	2102.868	4262.187
64	2114.524	2662.112	4680.080	4511.638	4477.161	2102.897	4515.076
128	2356.717	2593.785	4023.035	3971.845	3969.654	2355.622	3975.676
256	2341.551	2625.091	4536.656	4510.950	4517.961	2337.655	4517.961
512	2234.825	2609.614	4135.441	4140.587	4140.587	2289.174	4144.142
1024	1811.833	2413.259	4131.411	4134.162	4115.568	1816.057	4115.569
2048	1667.997	2273.607	4194.651	4180.730	4189.072	1657.371	4187.680
