4	1663.869	1999.139	1680.341	1617.207	1619.954	1643.297	1618.976
8	1846.309	2437.976	1906.979	1825.722	1827.801	1875.518	1825.715
16	1927.778	2602.849	2084.068	1984.136	1973.934	1923.865	1984.996
32	2030.148	2569.961	2103.830	2004.243	2003.609	2042.032	1996.992
64	2040.738	2611.740	2149.226	2040.737	2044.046	2035.046	2045.035
128	2044.171	2667.350	2176.939	2067.833	2070.166	2049.253	2045.546
256	2071.251	2640.193	2177.689	2068.548	2070.829	2061.790	2065.338
512	2057.815	2660.245	2184.786	2068.908	2071.126	2057.986	2071.638
1024	2052.101	2675.428	2194.704	2081.996	2081.996	2051.757	2080.622
2048	2055.694	2679.448	2201.444	2090.923	2054.313	2057.766	2087.469
