4	1773.574	1749.516	1562.350	1486.349	1602.155	1778.825	1605.944
8	1924.224	1933.401	1648.436	1554.993	2088.349	1923.695	2070.176
16	1949.306	1906.951	1692.460	1629.752	2454.669	1949.319	2471.146
32	1980.778	1982.685	1723.592	1692.489	2753.961	1984.522	2799.802
64	1914.031	1895.226	1670.468	1702.013	3051.268	1915.447	3097.372
128	1800.730	1812.774	1604.451	1623.066	2882.319	1797.445	2924.475
256	1798.616	1804.068	1351.044	1345.262	3341.733	1800.174	3406.388
512	1698.990	1757.726	1245.261	1242.155	3083.694	1676.119	3138.060
1024	1342.762	1703.356	1114.923	1114.924	3007.102	1343.655	3200.373
2048	1226.578	1617.477	652.364	649.366	3002.990	1227.800	3251.076
