4	797.717	869.108	1060.907	994.218	695.276	794.091	689.323
8	876.934	930.892	1188.050	1120.000	741.311	873.468	741.634
16	900.168	939.835	1249.786	1203.060	782.552	899.938	770.780
32	817.321	836.032	1123.548	1096.197	791.963	817.708	793.461
64	856.191	871.307	1173.971	1117.910	792.926	847.736	796.337
128	874.050	873.133	1056.642	1160.248	749.906	876.633	800.730
256	898.565	899.409	452.112	460.898	622.752	895.439	802.262
512	905.350	882.823	753.121	916.272	684.516	899.547	797.322
1024	916.092	886.932	564.912	649.099	610.270	907.845	790.670
2048	899.757	882.891	407.694	451.455	541.013	902.909	792.462
