4	810.356	852.155	1076.833	964.848	636.728	808.180	661.969
8	889.482	923.750	1199.290	1104.170	677.681	891.187	705.765
16	906.927	938.236	1255.125	1192.234	713.387	905.741	743.464
32	813.640	827.629	1126.078	1090.740	715.632	815.089	745.841
64	860.268	868.441	1159.562	1100.091	725.302	858.936	767.398
128	872.883	879.924	1065.848	1160.540	688.292	877.758	749.448
256	891.637	902.366	455.491	454.139	581.613	901.943	778.187
512	908.763	903.814	768.992	916.272	624.956	902.961	756.193
1024	903.722	889.977	566.974	644.632	567.661	909.563	764.555
2048	901.438	894.531	405.760	458.205	504.439	892.852	742.564
