64	1861.355
128	
4096	1638.818
8192	
16384	1501.223
64	1863.580
128	
4096	1645.270
8192	
16384	1575.016
64	1864.186
128	
4096	1642.576
8192	
16384	1319.474
64	1862.670
128	
4096	1647.432
8192	
16384	1584.366
64	1864.186
128	
4096	1645.810
8192	
16384	1538.090
64	1860.749
128	
4096	1640.963
8192	
16384	1541.118
64	1864.691
128	
4096	1644.731
8192	
16384	1532.571
16	1619.820	957.639
32	1738.919	974.404
64	1863.075	864.150
128	
256	1714.489	880.416
512	
1024	
2048	
16	968.578	961.530	1241.233	1243.518	1731.903	969.054	1624.772
32	980.853	974.404	1273.926	1298.061	1807.749	981.963	1738.641
64	854.950	863.442	1146.235	1150.178	1905.538	857.275	1864.995
128	862.314	860.397	1150.573	1166.451	
256	873.410	881.002	536.345	456.318	1549.349	873.701	1711.581
512	825.278	824.203	468.482	446.496	
1024	889.866	877.506	381.238	354.534	
2048	686.021	818.371	500.664	497.201	
